diagnosis,accepted_answers,clue_1,clue_2,clue_3,clue_4,clue_5,clue_6,explanation,high_yield
Internal hemorrhoids,hemorrhoids; bleeding internal hemorrhoids; painless hemorrhoidal bleeding,A postpartum patient has painless red streaking coating the stool after constipation.,The blood appears after defecation rather than as large-volume maroon hematochezia.,"There is no tearing pain that persists for hours, making fissure less likely.",Anoscopy demonstrates internal vascular cushions without an ulcerated mass.,Older patients or alarm features would still require proximal evaluation.,"The source is above the dentate line, explaining painless bleeding.","Internal hemorrhoids are dilated submucosal vascular cushions above the dentate line, causing painless bright red blood on paper or coating stool.",Blood on toilet paper/coating stool; painless if internal; constipation/straining/pregnancy; anoscopy; do not assume in older patients without workup.
Anal fissure,posterior midline fissure; painful anal fissure,A patient with chronic constipation reports pain far more impressive than the amount of blood.,"Symptoms begin with passage of a hard stool, followed by burning spasm for hours.",There is no painless prolapse and no large-volume hematochezia.,"The tear is midline; an off-midline lesion would raise concern for Crohn, TB, or STI.",Initial treatment focuses on stool softening and sphincter relaxation.,The diagnosis is a painful anal canal laceration rather than hemorrhoidal bleeding.,"An anal fissure is a tear in the anoderm, usually posterior midline, producing severe pain with defecation and small bright red bleeding.",Severe defecation pain; posterior midline tear; small BRBPR on paper; constipation; off-midline suggests Crohn/TB/syphilis.
Small bowel obstruction,SBO; adhesive small bowel obstruction; mechanical small bowel obstruction,A patient with a history of Crohn resections presents with colicky pain that comes in surges and bloating.,Nausea and vomiting occur earlier than would be expected for a distal colonic obstruction.,He has obstipation and dehydration with elevated BUN/creatinine.,"Labs showing fever, leukocytosis, or rising lactate would suggest strangulation.",CT demonstrates proximal small bowel dilation and distal decompression.,Mechanical blockage of small intestine causes fluid sequestration and proximal distension.,"SBO is mechanical blockage of small bowel, most often adhesions after surgery, producing colicky pain, bilious vomiting, distension, obstipation, and air-fluid levels.",Prior surgery/adhesions; colicky pain; bilious vomiting; obstipation; dilated small bowel + transition point; lactate/peritonitis = strangulation.
Large bowel obstruction,LBO; colonic obstruction; obstructing colon cancer,A patient presents with obstipation and marked distension after weeks of worsening constipation.,"He has little vomiting at first, distinguishing it from many small bowel obstructions.","Rectal exam checks for mass, blood, or impaction but does not fully explain proximal dilation.",CT is needed to define level and cause of the colonic blockage.,Late feculent vomiting and peritoneal signs would indicate advanced or complicated disease.,"The large bowel is mechanically obstructed, causing progressive proximal colonic dilation.","LBO causes distal colonic blockage with massive distension, obstipation, late vomiting, and a transition point, commonly from colorectal cancer.",Massive distension; obstipation; late feculent vomiting; CRC/volvulus/diverticular stricture; cecum >12 cm risks perforation.
Sigmoid volvulus,adult sigmoid volvulus; sigmoid colon volvulus,A frail older patient on constipating medications presents with acute distension more impressive than pain.,He has not passed gas and the rectal vault is empty.,The story resembles generic large bowel obstruction until imaging shows the classic pelvic loop configuration.,The apex points toward the right upper abdomen on abdominal radiograph.,"Peritoneal signs, fever, or lactate elevation would push toward surgery.",Twisting of a redundant sigmoid colon around its mesentery is the cause.,"Sigmoid volvulus is axial twisting of the sigmoid colon causing closed-loop large bowel obstruction, classically in elderly institutionalized constipated patients.",Elderly/institutionalized; chronic constipation; massive distension + obstipation; coffee bean to RUQ; endoscopic detorsion unless ischemia/perforation.
Cecal volvulus,cecal volvulus; mobile cecum volvulus,A postpartum patient has acute large-bowel obstruction symptoms with marked distension and minimal stool passage.,The demographic and imaging do not fit the classic institutionalized sigmoid volvulus patient.,"Abdominal radiograph shows an ectopic, massively dilated cecal gas shadow.",CT confirms cecal torsion and assesses for compromised bowel.,Rising lactate or peritonitis indicates ischemia.,The volvulus involves the cecum and ascending colon rather than the sigmoid.,"Cecal volvulus is twisting of a mobile cecum, causing closed-loop obstruction in a younger patient, often with kidney-bean/comma sign displaced to the LUQ.",Younger patient; mobile cecum/prior surgery/pregnancy; kidney bean in LUQ; requires surgery rather than endoscopic detorsion.
Celiac disease,celiac sprue; gluten-sensitive enteropathy; gluten enteropathy,"A patient with type 1 diabetes develops chronic nonbloody diarrhea, weight loss, and low folate.",Symptoms are not nocturnal inflammatory diarrhea and stool studies for infection are negative.,Fat-soluble vitamin deficiency and osteoporosis risk emerge over time.,"Dermatitis herpetiformis, if present, is a major clue.",Endoscopy may show scalloped duodenal folds before biopsy confirmation.,"Removal of wheat, barley, and rye improves the autoimmune enteropathy.","Celiac disease is immune reaction to gluten causing small-bowel villous atrophy, malabsorption, steatorrhea, iron/folate deficiency, and dermatitis herpetiformis.",Steatorrhea; iron/folate deficiency; dermatitis herpetiformis; anti-tTG IgA + total IgA; duodenal biopsy confirms; gluten-free diet.
Irritable bowel syndrome,IBS; irritable bowel syndrome diarrhea predominant; functional bowel disorder,"A young adult reports bloating, urgency, and abdominal discomfort that clusters before exams and improves after bowel movements.","The story is deliberately missing alarm features such as nocturnal symptoms, progressive weight loss, or blood.",Inflammatory markers and fecal calprotectin are normal.,"Colonoscopy is reserved for age-appropriate screening or red flags, not for a classic low-risk pattern.",Prior gastroenteritis may have preceded the chronic symptoms.,Functional bowel disorder is favored after organic disease is excluded.,"IBS is a disorder of gut-brain interaction with chronic recurrent abdominal pain related to defecation and changes in stool frequency/form, without inflammatory or structural disease.",Pain relieved/related to defecation; no nocturnal symptoms; normal labs; no blood/weight loss/anemia; Rome IV; diagnosis after excluding red flags.
Clostridioides difficile colitis,C difficile; C diff colitis; pseudomembranous colitis,A hospitalized patient on a proton pump inhibitor develops more than three loose stools daily after clindamycin.,"The diarrhea is usually watery, though severe disease can become bloody or cause ileus.",Leukocytosis is prominent and abdominal tenderness is diffuse but not initially surgical.,Testing targets toxin genes or toxins A and B in unformed stool.,Oral vancomycin or fidaxomicin is used rather than routine antidiarrheals.,Toxin-mediated mucosal injury follows antibiotic-associated overgrowth.,"C. difficile colitis follows disruption of normal flora after antibiotics or healthcare exposure, producing watery diarrhea, leukocytosis, and pseudomembranous colitis.","Recent antibiotics/hospitalization; watery diarrhea; leukocytosis; pseudomembranes; PCR sensitive, toxin EIA specific; oral vancomycin/fidaxomicin."
Hirschsprung disease,congenital aganglionic megacolon; Hirschsprung,"An infant has constipation since birth, bilious vomiting episodes, and failure to thrive.",Parents report meconium was not passed in the first two days of life.,The rectum is tight and empty rather than packed with inspissated meconium.,Anorectal manometry shows failure of internal sphincter relaxation.,Biopsy confirms absence of both Auerbach and Meissner plexus ganglion cells.,Functional distal obstruction from aganglionosis explains the transition zone.,Hirschsprung disease is failure of neural crest migration causing distal aganglionosis and functional obstruction with delayed meconium passage.,Failure to pass meconium >48h; empty rectum; explosive stool after exam; Down/RET; transition zone; rectal suction biopsy confirms.
Meconium ileus due to cystic fibrosis,meconium ileus; cystic fibrosis meconium ileus; neonatal CF obstruction,"A newborn has no stool by 36 hours, progressive distension, and green emesis.",The abdomen feels ropy and stool is unusually thick rather than absent due to aganglionosis.,Newborn screen or sweat chloride testing supports CFTR dysfunction.,Imaging shows microcolon and pellets of meconium in the ileum.,Hyperosmolar contrast enema may be therapeutic unless complicated.,Meconium ileus should prompt evaluation for cystic fibrosis.,Meconium ileus is neonatal terminal ileal obstruction from thick meconium due to cystic fibrosis and exocrine pancreatic insufficiency.,Failure to pass meconium; bilious vomiting; soap-bubble RLQ; microcolon; sweat chloride positive; meconium ileus = CF until proven otherwise.
Pyloric stenosis,hypertrophic pyloric stenosis; infantile pyloric stenosis,A 5-week-old exposed to macrolides early in life presents with worsening postprandial vomiting.,"Parents say he is hungry after episodes, making infection less likely.",No bile is present in the vomit and abdominal distension is minimal.,An olive-shaped epigastric or RUQ mass may be palpable.,Ultrasound rather than CT confirms the narrowed pyloric channel.,Loss of gastric HCl produces the classic alkalosis.,"Hypertrophic pyloric stenosis causes gastric outlet obstruction in young infants, producing nonbilious projectile vomiting, hunger after emesis, olive mass, and hypochloremic metabolic alkalosis.",2-6 weeks; firstborn male; nonbilious projectile vomiting; hungry after; olive; hypochloremic hypokalemic metabolic alkalosis; ultrasound diagnosis.
Intussusception,ileocolic intussusception; bowel telescoping,A toddler after a viral illness presents with intermittent severe abdominal pain rather than continuous peritonitis.,Lethargy may be prominent and misleading during episodes.,"Currant-jelly stool, if present, is a late sign of venous congestion and ischemia.",A pathologic lead point is considered if the child is older than the usual age range.,Ultrasound is first-line and avoids radiation.,Lymphoid hyperplasia can act as a lead point for telescoping bowel.,"Intussusception is telescoping of proximal bowel into distal bowel, usually ileocolic, producing episodic colicky pain, currant jelly stool, target sign, and a reducible obstruction.",Episodic pain with knees to chest; well intervals; currant jelly late; sausage mass; target sign; air/contrast enema treats.
Malrotation with midgut volvulus,midgut volvulus; malrotation volvulus; neonatal volvulus,A 3-day-old has bilious nasogastric output and intermittent abdominal pain signs.,Plain film is not reassuring enough if volvulus remains possible.,Bloody stool is a late ominous feature suggesting ischemia.,Upper GI contrast study identifies an abnormally positioned duodenojejunal junction.,Management is urgent Ladd procedure after stabilization.,Malrotation predisposes to midgut volvulus with rapid intestinal compromise.,"Malrotation predisposes the midgut to volvulus around the SMA, causing bilious vomiting in neonates and rapid intestinal ischemia.",Bilious vomiting in neonate = emergency; corkscrew upper GI; abnormal DJ junction; lactate/acidosis ischemia; Ladd procedure.
Meckel diverticulum,Meckel's diverticulum; vitelline duct remnant; omphalomesenteric duct remnant,A young child has recurrent painless hematochezia and intermittent pallor.,No abdominal tenderness or anal tear explains the amount of bleeding.,Colonoscopy is unrevealing because the source is in the distal ileum.,Nuclear scan uptake occurs where gastric mucosa exists outside the stomach.,The classic epidemiology involves a true diverticulum near the ileocecal valve.,Ectopic gastric tissue within a congenital diverticulum causes ulceration and bleeding.,"Meckel diverticulum is a vitelline duct remnant that may contain ectopic gastric mucosa, causing painless rectal bleeding in young children.",Painless rectal bleeding child <2; rule of 2s; ectopic gastric mucosa; technetium-99m scan; true diverticulum.
Necrotizing enterocolitis,NEC; neonatal necrotizing enterocolitis,A very-low-birth-weight infant deteriorates after feeds with bilious aspirates and a tense abdomen.,Exam may show abdominal wall erythema and hemodynamic instability in severe disease.,Stool guaiac is positive and platelets fall.,Serial x-rays are used to follow pneumatosis or free air.,Pneumoperitoneum indicates perforation and need for surgery.,Prematurity plus enteral feeding predisposes to necrotizing intestinal inflammation.,"NEC is inflammatory and ischemic necrosis of neonatal bowel, usually in premature infants, with feeding intolerance, bloody stool, and pneumatosis intestinalis.",Prematurity + feeding intolerance + distension + bloody stool; pneumatosis intestinalis pathognomonic; portal venous gas severe; pneumoperitoneum surgery.
Achalasia,achalasia; primary achalasia; esophageal aperistalsis,A patient from an endemic region for Chagas disease has dysphagia to solids and liquids and nocturnal regurgitation.,The simultaneous liquid and solid problem argues against a simple obstructing tumor early on.,Chest x-ray may show an air-fluid level or widened mediastinum.,Endoscopy rules out pseudoachalasia before definitive treatment.,Manometry is diagnostic with aperistalsis and high resting LES pressure or impaired relaxation.,Degeneration of the esophageal myenteric plexus produces functional obstruction.,"Achalasia is loss of inhibitory neurons in the myenteric plexus causing absent peristalsis and impaired LES relaxation, with dysphagia to solids and liquids from onset.",Dysphagia to solids and liquids simultaneously; regurgitation undigested food; bird-beak; manometry gold standard; Chagas possible.
Esophageal adenocarcinoma,distal esophageal adenocarcinoma; Barrett-associated esophageal cancer; GEJ adenocarcinoma,"A white male smoker presents with progressive dysphagia, anemia, and weight loss after years of poorly controlled reflux.",The progression from solids to liquids suggests mechanical narrowing rather than motility disease.,Symptoms localize low in the chest near the GE junction.,Staging uses CT and PET after endoscopic biopsy.,This malignancy has risen in Western populations with obesity and Barrett esophagus.,The tumor is gland-forming cancer of the distal esophagus.,Esophageal adenocarcinoma arises from Barrett metaplasia in the distal esophagus/GEJ and causes progressive dysphagia with weight loss.,GERD/Barrett; obese white male; distal/GEJ; progressive solids to liquids dysphagia; weight loss; EGD biopsy diagnosis.
Esophageal squamous cell carcinoma,esophageal SCC; squamous esophageal cancer; mid esophageal carcinoma,A patient with long-standing achalasia now has a change in symptoms with rapidly worsening dysphagia and cachexia.,Alcohol and smoking history further increase risk.,The lesion is not distal/Barrett-associated; it is found in the upper or middle esophagus.,"Endoscopy with biopsy is required, followed by staging imaging.",Recurrent laryngeal nerve involvement may cause voice changes.,Malignant transformation of squamous mucosa explains the obstructive progression.,"Esophageal squamous cell carcinoma arises in upper/mid esophageal squamous epithelium and is linked to alcohol, tobacco, achalasia, and progressive dysphagia.",Alcohol + tobacco; upper/mid esophagus; progressive solids to liquids; weight loss; irregular filling defect; achalasia increases risk.
Eosinophilic esophagitis,EoE; eosinophilic esophagitis; allergic esophagitis,A young atopic patient repeatedly needs to drink water to push down bread and meat.,"The intermittent nature and food impaction make cancer less likely, while atopy makes reflux alone less satisfying.",Peripheral eosinophilia may be present but is not required.,EGD demonstrates trachealization and furrows.,Biopsy confirms mucosal eosinophilia after other causes are considered.,Chronic allergic inflammation narrows the esophagus and impairs bolus transit.,EoE is antigen-driven eosinophilic inflammation of the esophagus causing intermittent solid-food dysphagia and food impaction in young atopic patients.,Young atopic male; food impaction; rings/furrows/white exudates; >=15 eos/hpf; intermittent solids; poor PPI-only response.
Candida esophagitis,esophageal candidiasis; Candida infectious esophagitis,A transplant recipient on immunosuppression reports retrosternal pain with swallowing.,"Oropharyngeal thrush is present, making the cause more likely than viral ulcers.",There is no large linear ulcer pattern or punched-out discrete lesions described.,Symptoms improve with systemic azole therapy rather than topical mouth treatment alone.,This is the most common infectious esophagitis overall.,Candida overgrowth infects the esophageal mucosa in an immunocompromised host.,"Candida esophagitis is opportunistic infection causing odynophagia in immunocompromised patients, often with thrush and adherent white plaques.",Odynophagia + immunocompromised; thrush; white plaques; pseudohyphae; most common infectious esophagitis; fluconazole empirically if classic.
CMV esophagitis,cytomegalovirus esophagitis; CMV infectious esophagitis,A bone marrow transplant recipient develops painful swallowing and weight loss.,The absence of oral plaques makes Candida less obvious.,EGD reveals broad serpiginous ulcers rather than many small volcano-like ulcers.,Histology demonstrates viral cytopathic effect with intranuclear and intracytoplasmic inclusions.,The biopsy site matters because infected stromal/endothelial cells are often at the ulcer base.,Reactivation of CMV produces large distal esophageal ulcers.,CMV esophagitis causes odynophagia in severely immunocompromised patients with large shallow linear distal ulcers and owl-eye inclusions.,Immunocompromised odynophagia; no thrush; large linear distal ulcers; owl-eye inclusions; treat ganciclovir.
HSV esophagitis,herpes simplex esophagitis; HSV infectious esophagitis,A patient receiving chemotherapy has painful swallowing and clusters of oral vesicles.,"Symptoms are more painful than obstructive, and food sticking is secondary.",Endoscopy reveals discrete volcano-like ulcers rather than long linear distal lesions.,Tzanck-like cytology would show multinucleation and nuclear molding.,CMV would be favored by large shallow linear ulcers with owl-eye cells.,HSV infects squamous epithelium and causes punched-out esophageal ulcers.,HSV esophagitis is opportunistic viral esophageal infection causing odynophagia with multiple small punched-out mid-esophageal ulcers and multinucleated giant cells.,Odynophagia; immunocompromised; punched-out/volcano ulcers; multinucleated giant cells and Cowdry A; treat acyclovir.
